trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.85}",30,0,-89.582893654603,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.7999999999999999}",25,0,-211.5868747888286,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.7499999999999999}",25,5,-104.81153672261344,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.3, 'e': 0.6999999999999998}",25,0,-64.88811490068682,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.6499999999999998}",25,0,-190.1049345755932,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.5999999999999998}",20,10,-4.599273652554247,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.5499999999999997}",35,0,-142.1969628443742,"{0: 27, 1: 0, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.3, 'e': 0.4999999999999997}",20,0,-21.817156322403324,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.44999999999999973}",20,0,-77.34116445983733,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.3, 'e': 0.39999999999999974}",25,13,-1.5761022871294132,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.34999999999999976}",25,10,-77.58478634105401,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.3, 'e': 0.29999999999999977}",20,0,-23.022221085868903,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.24999999999999978}",20,10,-55.42333765740172,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
14,False,"{'a': 0.3, 'e': 0.1999999999999998}",25,13,-7.4612391633054616,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.3, 'e': 0.1499999999999998}",20,0,-23.862809161867368,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.0999999999999998}",20,0,26.532091916035935,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.3, 'e': 0.049999999999999795}",20,0,-29.479496063764383,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.3, 'e': -2.0816681711721685e-16}",20,6,-67.65208886230974,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 1}",1
19,False,"{'a': 0.3, 'e': -0.05000000000000021}",20,15,-1.6904298135438776,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': -0.10000000000000021}",25,0,-109.71505885777178,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,8,17.75745569778819,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-32.61119147629222,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,11,15.924351447741117,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,9.42994211096141,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,14,-23.84352201264022,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-75.48823125816261,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,14,8.34731576870567,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,4.967861749719086,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-181.62365834510229,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,16,4.948993537833603,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
