trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-91.22297024000926,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-113.73707125072896,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-171.83609273558645,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,14,-49.9689605246488,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",20,0,-119.35404023057279,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,12,-18.763138309220576,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",20,12,-22.52737621903148,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,4,-138.30229288629556,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 3}",1
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-46.904385240012665,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-206.71010553905475,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-166.41139985099383,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-55.15824434541274,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,18,-34.89975237662533,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-218.40586152378208,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",35,0,-110.4570710799933,"{0: 24, 1: 4, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,9,-125.20177968387624,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 3}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-175.1697823971803,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",30,14,-13.32460163764214,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",25,0,-88.24818857724024,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-80.03273558276983,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",25,10,-46.01566365541438,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-231.59785057182026,"{0: 8, 1: 1, 2: 4, 3: 4, 4: 3}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",25,0,-89.40774666037069,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-272.8695267921907,"{0: 17, 1: 0, 2: 5, 3: 4, 4: 4}",0
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",20,0,-35.81249215914794,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,0,-120.12426831668857,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
