trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.9}",30,0,-97.85084392976063,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.05, 'e': 0.81}",20,0,-79.11094345892813,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.7290000000000001}",20,0,-130.9268671870422,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.05, 'e': 0.6561}",30,0,-131.10366998495115,"{0: 13, 1: 7, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.05, 'e': 0.5904900000000001}",20,9,-121.51776669326962,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
6,False,"{'a': 0.05, 'e': 0.531441}",20,0,-158.5434514219446,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.05, 'e': 0.4782969000000001}",20,0,-228.6404688195526,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,False,"{'a': 0.05, 'e': 0.4304672100000001}",20,5,-80.20098280968462,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.3874204890000001}",20,0,-159.27637554725652,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.3486784401000001}",20,0,-57.09539748852536,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.31381059609000006}",20,0,-177.9059586373757,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.05, 'e': 0.2824295364810001}",25,0,-107.17081860992052,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.05, 'e': 0.2541865828329001}",30,0,-198.1602331049442,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.2287679245496101}",20,13,-13.47343578214235,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.20589113209464907}",25,0,-194.60505026088197,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
16,False,"{'a': 0.05, 'e': 0.18530201888518416}",20,0,-51.763614233762524,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.05, 'e': 0.16677181699666577}",20,0,-72.71577352701946,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
18,False,"{'a': 0.05, 'e': 0.15009463529699918}",30,9,-52.767694232213486,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.05, 'e': 0.13508517176729928}",25,0,-118.00500639815657,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
20,False,"{'a': 0.05, 'e': 0.12157665459056935}",20,0,-222.44996269957335,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",25,0,-90.47143597336256,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-1.155242671100337,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,10,-60.521066261244954,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",25,0,-115.91467372552592,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-117.85648441952871,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-30.449220117836298,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-40.52180142053182,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-120.54753564808135,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,14,-59.01438329441486,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-75.97307402110937,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
